name,code_r,code_g,code_b
ポピーレッド,234,85,80
バーミリオン,234,85,58
マホガニー,107,63,49
マルーン,106,25,23
サハラ,226,150,118
アンバーローズ,230,191,178
バーントシェンナ,187,85,53
マリーゴールド,243,152,0
オイスター,234,225,207
サフランイエロー,250,197,89
レグホーン,255,233,169
ネープルスイエロー,253,211,92
ストロー ,236,224,147
オリーブドラブ,102,90,26
カナリヤ,255,244,98
レタスグリーン,209,222,76
スプリンググリーン,156,187,28
サマーグリーン,0,153,68
スプレイグリーン,164,213,189
ビリジアン,0,136,90
ウォーターグリーン,165,201,193
ピーコックグリーン,0,164,151
テールグリーン,0,106,108
ナイルブルー,44,180,173
アクアマリン,103,181,183
ケンブリッジブルー,37,183,192
サマーシャワー,161,216,226
セルリアンブルー,0,141,183
マリンブルー,0,104,136
シアン,0,161,233
ピジョンブルー,136,181,211
フロスティブルー,187,219,243
ブルーアシード,0,110,176
ヘブンリーブルー,104,164,217
デイドリーム,163,185,224
パウダーブルー,188,205,219
ヒヤシンス,108,155,210
ミッドナイトブルー,0,30,67
インディゴ,4,60,120
ウルトラマリン,67,77,162
ウイスタリア,141,147,200
パンジー,77,67,152
ディープロイヤルパープル,71,38,110
グレープ,86,37,110
モーブ,145,93,163
ライラック,209,186,218
レーズン,107,57,95
フランボワーズ,154,13,124
オーキッド,217,170,205
シクラメンピンク,208,79,151
ブーゲンビリア,230,47,139
クラレット,148,31,87
ローズミスト,222,190,204
オペラ ,233,83,136
コチニールレッド,200,44,85
カーマイン,215,0,53
バーガンディー,108,39,53
カメリア,218,83,110
フラミンゴピンク,245,178,172
ピンクアーモンド,227,172,174
ミルキーホワイト,255,255,249
ラベンダーアイス,247,246,251
アイボリー,248,244,230
ムーングレイ,212,217,220
フレンチグレイ,141,160,182
ミスト,180,174,177
アッシュブロンド,181,181,174
バトルシップグレイ,137,137,137
アイビーグレイ,102,108,103
トープ ,80,73,70
ランプブラック,36,20,14
